GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Flogin Backend,com.flogin.service,AuthService,0,50,0,6,0,11,0,5,0,2
Flogin Backend,com.flogin.service,CategoryService,27,0,0,0,8,0,3,0,3,0
Flogin Backend,com.flogin.service,ProductService,0,222,2,6,0,46,2,15,0,13
Flogin Backend,com.flogin.controller,HomeController,5,0,0,0,2,0,2,0,2,0
Flogin Backend,com.flogin.controller,AuthController,0,44,0,2,0,12,0,3,0,2
Flogin Backend,com.flogin.controller,CategoryController,8,0,0,0,2,0,2,0,2,0
Flogin Backend,com.flogin.controller,ProductController,0,38,0,0,0,8,0,6,0,6
Flogin Backend,com.flogin.config,EncodingFilter,0,14,0,0,0,5,0,2,0,2
Flogin Backend,com.flogin.config,GlobalExceptionHandler,0,24,0,4,0,6,0,4,0,2
Flogin Backend,com.flogin.entity,User,571,60,97,3,25,14,71,11,22,10
Flogin Backend,com.flogin.entity,Product,634,71,124,0,50,20,89,14,27,14
Flogin Backend,com.flogin.entity,LoginHistory,505,0,84,0,44,0,73,0,31,0
Flogin Backend,com.flogin.entity,Category,349,26,60,0,17,7,47,5,17,5
Flogin Backend,com.flogin.entity,User.Role,3,25,0,0,1,6,1,2,1,2
Flogin Backend,com.flogin.entity,LoginHistory.FailureReason,3,0,0,0,1,0,1,0,1,0
Flogin Backend,com.flogin.dto,CategoryDto,115,0,22,0,4,0,20,0,9,0
Flogin Backend,com.flogin.dto,LoginRequest,0,9,0,0,0,1,0,1,0,1
Flogin Backend,com.flogin.dto,LoginResponse,0,9,0,0,0,1,0,1,0,1
Flogin Backend,com.flogin.dto,ProductDto,230,68,56,0,0,9,31,16,3,16
Flogin Backend,com.flogin,FloginApplication,5,3,0,0,2,1,1,1,1,1
